"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-10-25T18:30:00.000Z","","","","","-100.00","-95.76",""
"2022-10-26T18:30:00.000Z","909.00","919.95","901.25","915.15","1.36","5.60","11,967,044"
"2022-10-27T18:30:00.000Z","915.00","917.95","898.90","903.05","-1.32","2.91","7,320,207"
"2022-10-30T18:30:00.000Z","908.00","918.00","902.10","906.00","0.33","4.56","9,038,777"
"2022-10-31T18:30:00.000Z","904.00","904.00","869.00","871.75","-3.78","0.46","29,191,921"
"2022-11-01T18:30:00.000Z","875.00","877.00","861.60","863.55","-0.94","3.29","11,029,140"
"2022-11-02T18:30:00.000Z","857.90","880.40","856.00","864.05","0.06","4.29","10,185,978"
"2022-11-03T18:30:00.000Z","869.00","872.90","862.30","868.10","0.47","4.70","7,323,879"
"2022-11-06T18:30:00.000Z","876.25","876.80","861.30","872.95","0.56","4.79","9,931,261"
"2022-11-07T18:30:00.000Z","","","","","-100.00","-95.76",""
"2022-11-08T18:30:00.000Z","875.05","880.75","868.50","873.70","0.09","4.32","10,190,209"
"2022-11-09T18:30:00.000Z","843.70","856.70","841.00","843.70","-3.43","0.80","18,956,575"
"2022-11-10T18:30:00.000Z","847.00","854.70","844.15","850.70","0.83","5.07","19,329,819"
"2022-11-13T18:30:00.000Z","850.50","853.90","847.35","851.00","0.04","4.27","6,985,306"
"2022-11-14T18:30:00.000Z","851.25","859.85","847.20","858.65","0.90","5.13","7,124,767"
"2022-11-15T18:30:00.000Z","858.00","861.60","850.60","855.40","-0.38","3.86","6,521,854"
"2022-11-16T18:30:00.000Z","855.40","861.40","852.70","858.20","0.33","4.56","4,909,607"
"2022-11-17T18:30:00.000Z","859.30","865.80","855.00","859.20","0.12","4.35","7,065,304"
"2022-11-20T18:30:00.000Z","860.00","870.95","859.00","870.05","1.26","5.50","7,209,207"
"2022-11-21T18:30:00.000Z","874.95","877.00","868.35","870.05","0","4.24","5,535,233"
"2022-11-22T18:30:00.000Z","873.90","877.80","868.75","874.70","0.53","4.77","5,861,417"
"2022-11-23T18:30:00.000Z","878.00","880.80","873.10","878.55","0.44","4.68","4,928,778"
"2022-11-24T18:30:00.000Z","883.00","891.80","880.90","887.75","1.05","5.28","7,614,047"
"2022-11-27T18:30:00.000Z","887.70","899.50","885.30","891.70","0.44","4.68","7,928,147"
"2022-11-28T18:30:00.000Z","894.40","901.90","890.00","892.55","0.10","4.33","5,661,158"
