"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-10-25T18:30:00.000Z","","","","","-100.00","-95.75",""
"2022-10-26T18:30:00.000Z","1,464.50","1,467.35","1,451.25","1,454.40","0.24","4.49","7,968,638"
"2022-10-27T18:30:00.000Z","1,450.00","1,467.00","1,447.40","1,458.70","0.30","4.54","5,237,139"
"2022-10-30T18:30:00.000Z","1,472.00","1,498.00","1,467.25","1,496.70","2.61","6.85","6,415,264"
"2022-10-31T18:30:00.000Z","1,503.50","1,529.00","1,498.90","1,513.25","1.11","5.35","9,536,878"
"2022-11-01T18:30:00.000Z","1,517.00","1,528.25","1,511.60","1,514.20","0.06","4.31","6,360,203"
"2022-11-02T18:30:00.000Z","1,497.70","1,520.25","1,497.00","1,507.55","-0.44","3.81","5,166,176"
"2022-11-03T18:30:00.000Z","1,503.20","1,516.10","1,489.60","1,497.15","-0.69","3.56","5,409,030"
"2022-11-06T18:30:00.000Z","1,510.00","1,512.00","1,492.10","1,508.80","0.78","5.02","4,917,917"
"2022-11-07T18:30:00.000Z","","","","","-100.00","-95.75",""
"2022-11-08T18:30:00.000Z","1,515.05","1,517.95","1,504.00","1,508.35","-0.03","4.22","4,634,895"
"2022-11-09T18:30:00.000Z","1,497.10","1,527.00","1,495.05","1,524.75","1.09","5.33","6,387,091"
"2022-11-10T18:30:00.000Z","1,545.00","1,637.00","1,538.00","1,611.15","5.67","9.91","28,361,169"
"2022-11-13T18:30:00.000Z","1,612.00","1,628.00","1,598.00","1,615.05","0.24","4.49","9,597,695"
"2022-11-14T18:30:00.000Z","1,623.15","1,623.15","1,605.25","1,619.00","0.24","4.49","5,515,101"
"2022-11-15T18:30:00.000Z","1,618.65","1,642.00","1,612.00","1,632.90","0.86","5.10","6,789,075"
"2022-11-16T18:30:00.000Z","1,618.10","1,631.55","1,613.90","1,618.15","-0.90","3.34","6,050,465"
"2022-11-17T18:30:00.000Z","1,621.00","1,623.00","1,605.25","1,613.90","-0.26","3.98","5,229,616"
"2022-11-20T18:30:00.000Z","1,607.65","1,612.00","1,590.20","1,597.35","-1.03","3.22","4,172,408"
"2022-11-21T18:30:00.000Z","1,600.00","1,604.35","1,591.00","1,595.00","-0.15","4.10","4,273,157"
"2022-11-22T18:30:00.000Z","1,605.00","1,605.00","1,594.00","1,599.15","0.26","4.51","5,092,869"
"2022-11-23T18:30:00.000Z","1,605.95","1,632.00","1,599.15","1,625.15","1.63","5.87","8,598,980"
"2022-11-24T18:30:00.000Z","1,629.70","1,631.70","1,614.10","1,617.65","-0.46","3.78","4,205,248"
