"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-10-25T18:30:00.000Z","","","","","-100.00","-95.74",""
"2022-10-26T18:30:00.000Z","926.05","933.70","920.25","924.40","-0.07","4.19","16,080,842"
"2022-10-27T18:30:00.000Z","918.00","927.50","901.00","907.85","-1.79","2.47","9,854,094"
"2022-10-30T18:30:00.000Z","912.60","917.05","904.60","908.70","0.09","4.36","9,000,840"
"2022-10-31T18:30:00.000Z","921.00","921.00","899.55","908.60","-0.01","4.25","9,823,761"
"2022-11-01T18:30:00.000Z","920.60","920.75","902.35","904.70","-0.43","3.83","7,690,974"
"2022-11-02T18:30:00.000Z","901.05","913.85","897.05","908.65","0.44","4.70","9,022,366"
"2022-11-03T18:30:00.000Z","906.30","913.40","900.20","905.30","-0.37","3.89","7,099,336"
"2022-11-06T18:30:00.000Z","910.25","920.10","903.45","917.50","1.35","5.61","11,100,219"
"2022-11-07T18:30:00.000Z","","","","","-100.00","-95.74",""
"2022-11-08T18:30:00.000Z","920.00","921.90","905.75","910.50","-0.76","3.50","11,590,409"
"2022-11-09T18:30:00.000Z","907.55","912.95","903.95","910.70","0.02","4.29","10,009,741"
"2022-11-10T18:30:00.000Z","925.90","928.00","903.50","906.55","-0.46","3.81","17,921,457"
"2022-11-13T18:30:00.000Z","905.00","906.55","891.25","894.95","-1.28","2.98","12,641,308"
"2022-11-14T18:30:00.000Z","900.55","913.65","898.80","911.70","1.87","6.13","15,176,911"
"2022-11-15T18:30:00.000Z","912.55","918.10","908.10","913.60","0.21","4.47","13,008,311"
"2022-11-16T18:30:00.000Z","913.00","922.30","910.35","919.80","0.68","4.94","12,584,194"
"2022-11-17T18:30:00.000Z","919.80","922.00","910.55","920.35","0.06","4.32","10,874,061"
"2022-11-20T18:30:00.000Z","914.05","924.80","914.05","921.40","0.11","4.38","9,245,704"
"2022-11-21T18:30:00.000Z","923.75","926.50","920.40","923.70","0.25","4.51","11,256,509"
"2022-11-22T18:30:00.000Z","927.00","931.85","923.70","927.45","0.41","4.67","10,959,704"
"2022-11-23T18:30:00.000Z","927.55","940.65","927.55","938.85","1.23","5.49","10,844,395"
"2022-11-24T18:30:00.000Z","940.30","942.90","927.50","930.30","-0.91","3.35","9,815,055"
"2022-11-27T18:30:00.000Z","924.00","943.80","923.95","937.40","0.76","5.03","9,381,474"
"2022-11-28T18:30:00.000Z","933.55","949.90","933.55","946.75","1.00","5.26","13,096,845"
