"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-10-25T18:30:00.000Z","","","","","-100.00","-95.92",""
"2022-10-26T18:30:00.000Z","57.00","57.20","56.00","56.80","0.53","4.61","39,092,776"
"2022-10-27T18:30:00.000Z","57.10","57.25","55.50","55.80","-1.76","2.32","34,477,195"
"2022-10-30T18:30:00.000Z","56.20","56.60","55.60","56.10","0.54","4.62","30,771,336"
"2022-10-31T18:30:00.000Z","56.40","56.60","55.60","55.70","-0.71","3.37","28,557,648"
"2022-11-01T18:30:00.000Z","55.75","56.20","55.10","55.35","-0.63","3.45","35,860,924"
"2022-11-02T18:30:00.000Z","55.05","57.65","54.80","57.20","3.34","7.42","59,548,263"
"2022-11-03T18:30:00.000Z","57.25","57.65","56.80","57.15","-0.09","3.99","29,045,358"
"2022-11-06T18:30:00.000Z","57.25","58.15","56.85","57.30","0.26","4.34","35,488,244"
"2022-11-07T18:30:00.000Z","","","","","-100.00","-95.92",""
"2022-11-08T18:30:00.000Z","57.30","58.15","57.15","57.40","0.17","4.26","42,320,305"
"2022-11-09T18:30:00.000Z","57.40","58.50","57.20","57.60","0.35","4.43","38,630,995"
"2022-11-10T18:30:00.000Z","58.30","58.50","57.45","57.55","-0.09","3.99","29,854,417"
"2022-11-13T18:30:00.000Z","57.75","57.80","57.05","57.45","-0.17","3.91","19,385,413"
"2022-11-14T18:30:00.000Z","57.50","57.70","56.70","57.15","-0.52","3.56","22,378,138"
"2022-11-15T18:30:00.000Z","57.20","58.10","56.45","57.10","-0.09","3.99","32,237,531"
"2022-11-16T18:30:00.000Z","57.05","57.10","55.80","56.30","-1.40","2.68","25,110,504"
"2022-11-17T18:30:00.000Z","56.30","56.45","55.45","55.85","-0.80","3.28","21,131,065"
"2022-11-20T18:30:00.000Z","55.70","56.50","55.55","56.35","0.90","4.98","20,155,600"
"2022-11-21T18:30:00.000Z","56.35","56.95","56.05","56.80","0.80","4.88","16,197,800"
"2022-11-22T18:30:00.000Z","57.10","57.30","56.80","57.00","0.35","4.43","16,313,120"
"2022-11-23T18:30:00.000Z","57.00","57.60","56.70","56.80","-0.35","3.73","17,361,595"
"2022-11-24T18:30:00.000Z","56.90","59.20","56.75","58.05","2.20","6.28","41,481,080"
"2022-11-27T18:30:00.000Z","58.05","59.70","57.65","58.80","1.29","5.37","39,638,632"
"2022-11-28T18:30:00.000Z","59.00","59.50","57.90","58.00","-1.36","2.72","26,139,041"
"2022-11-29T18:30:00.000Z","58.25","58.70","57.90","58.60","1.03","5.12","20,210,615"
"2022-11-30T18:30:00.000Z","58.75","59.60","58.35","58.75","0.26","4.34","33,163,853"
"2022-12-01T18:30:00.000Z","58.70","59.35","58.55","59.00","0.43","4.51","27,305,887"
"2022-12-04T18:30:00.000Z","59.30","61.20","58.90","60.40","2.37","6.45","60,123,157"
"2022-12-05T18:30:00.000Z","60.40","61.10","60.05","60.35","-0.08","4.00","37,465,596"
"2022-12-06T18:30:00.000Z","60.35","60.90","59.15","59.30","-1.74","2.34","32,861,793"
"2022-12-07T18:30:00.000Z","59.30","60.05","59.20","59.70","0.67","4.76","23,224,441"
"2022-12-08T18:30:00.000Z","60.20","60.40","57.90","58.60","-1.84","2.24","33,371,203"
"2022-12-11T18:30:00.000Z","58.65","59.25","57.65","59.10","0.85","4.93","19,725,963"
"2022-12-12T18:30:00.000Z","59.20","60.30","59.20","60.15","1.78","5.86","26,880,905"
"2022-12-13T18:30:00.000Z","60.50","63.20","60.00","62.70","4.24","8.32","84,343,663"
"2022-12-14T18:30:00.000Z","63.00","64.30","62.35","62.60","-0.16","3.92","72,230,847"
"2022-12-15T18:30:00.000Z","62.10","63.00","61.20","61.95","-1.04","3.04","39,089,164"
"2022-12-18T18:30:00.000Z","62.25","62.70","61.35","62.50","0.89","4.97","23,508,086"
"2022-12-19T18:30:00.000Z","62.75","62.75","60.50","61.45","-1.68","2.40","30,569,636"
"2022-12-20T18:30:00.000Z","61.75","62.00","58.70","58.95","-4.07","0.01","36,730,533"
"2022-12-21T18:30:00.000Z","59.40","59.60","56.30","56.95","-3.39","0.69","53,775,906"
"2022-12-22T18:30:00.000Z","56.10","56.60","52.45","53.00","-6.94","-2.85","62,775,042"
"2022-12-25T18:30:00.000Z","53.00","56.15","52.30","55.65","5.00","9.08","54,697,186"
"2022-12-26T18:30:00.000Z","56.20","56.55","54.95","55.95","0.54","4.62","39,445,196"
"2022-12-27T18:30:00.000Z","56.00","56.40","55.35","55.85","-0.18","3.90","28,870,928"
"2022-12-28T18:30:00.000Z","55.60","58.90","54.80","56.75","1.61","5.69","51,604,303"
"2022-12-29T18:30:00.000Z","57.55","59.50","57.20","58.80","3.61","7.69","55,516,065"
"2023-01-01T18:30:00.000Z","58.50","61.50","58.25","61.15","4.00","8.08","51,505,940"
"2023-01-02T18:30:00.000Z","61.50","61.65","60.50","61.35","0.33","4.41","38,946,801"
"2023-01-03T18:30:00.000Z","61.35","61.70","59.50","60.20","-1.87","2.21","28,996,108"
"2023-01-04T18:30:00.000Z","60.55","60.80","59.30","60.35","0.25","4.33","25,828,441"
"2023-01-05T18:30:00.000Z","60.60","60.80","59.05","59.50","-1.41","2.67","23,389,760"
"2023-01-08T18:30:00.000Z","60.00","60.35","59.35","59.70","0.34","4.42","19,607,384"
"2023-01-09T18:30:00.000Z","59.70","59.80","58.35","58.80","-1.51","2.57","19,429,029"
"2023-01-10T18:30:00.000Z","58.80","60.05","58.20","59.80","1.70","5.78","18,356,979"
"2023-01-11T18:30:00.000Z","60.00","60.35","59.10","59.60","-0.33","3.75","23,202,901"
"2023-01-12T18:30:00.000Z","59.90","60.45","59.45","60.20","1.01","5.09","22,266,548"
"2023-01-15T18:30:00.000Z","60.45","61.20","60.25","60.55","0.58","4.66","28,271,421"
"2023-01-16T18:30:00.000Z","60.75","60.75","58.40","59.20","-2.23","1.85","29,070,697"
"2023-01-17T18:30:00.000Z","59.45","59.85","59.00","59.30","0.17","4.25","15,547,909"
"2023-01-18T18:30:00.000Z","58.95","59.60","58.75","59.40","0.17","4.25","13,131,866"
"2023-01-19T18:30:00.000Z","59.35","60.25","59.20","59.35","-0.08","4.00","19,902,180"
"2023-01-22T18:30:00.000Z","61.50","61.85","59.00","59.30","-0.08","4.00","58,550,580"
"2023-01-23T18:30:00.000Z","59.30","59.65","58.60","58.80","-0.84","3.24","17,770,730"
"2023-01-24T18:30:00.000Z","58.80","58.80","56.70","56.90","-3.23","0.85","29,346,045"
"2023-01-25T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-01-26T18:30:00.000Z","57.50","57.65","54.20","55.70","-2.11","1.97","40,692,202"
"2023-01-29T18:30:00.000Z","55.45","57.50","54.70","56.40","1.26","5.34","29,977,488"
"2023-01-30T18:30:00.000Z","56.75","58.50","56.25","58.20","3.19","7.27","31,753,859"
"2023-01-31T18:30:00.000Z","58.95","59.75","55.05","56.50","-2.92","1.16","40,879,663"
"2023-02-01T18:30:00.000Z","57.00","59.80","56.80","59.60","5.49","9.57","61,949,943"
"2023-02-02T18:30:00.000Z","60.00","60.15","57.55","58.80","-1.34","2.74","32,921,777"
"2023-02-05T18:30:00.000Z","59.00","60.35","58.80","59.75","1.62","5.70","29,353,628"
"2023-02-06T18:30:00.000Z","59.90","60.15","59.10","59.90","0.25","4.33","27,073,089"
"2023-02-07T18:30:00.000Z","59.45","60.25","59.40","59.50","-0.67","3.41","21,390,443"
"2023-02-08T18:30:00.000Z","59.70","59.70","58.20","58.75","-1.26","2.82","17,445,192"
"2023-02-09T18:30:00.000Z","58.70","59.05","57.85","58.10","-1.11","2.97","17,298,126"
"2023-02-12T18:30:00.000Z","58.10","58.25","57.15","57.45","-1.12","2.96","20,135,551"
"2023-02-13T18:30:00.000Z","57.45","57.60","56.50","57.25","-0.35","3.73","17,828,666"
"2023-02-14T18:30:00.000Z","57.00","57.60","56.80","57.50","0.44","4.52","17,237,521"
"2023-02-15T18:30:00.000Z","57.80","57.80","56.90","57.00","-0.87","3.21","16,901,709"
"2023-02-16T18:30:00.000Z","56.90","57.00","55.70","55.90","-1.93","2.15","18,757,195"
"2023-02-19T18:30:00.000Z","56.00","56.10","54.80","55.00","-1.61","2.47","22,030,126"
